column_0,2008_SW,2008_SW_ct,2008_no_SW,2008_no_SW_ct,2009_SW,2009_SW_ct,2009_no_SW,2009_no_SW_ct,2010_SW,2010_SW_ct,2010_no_SW,2010_no_SW_ct,2011_SW,2011_SW_ct,2011_no_SW,2011_no_SW_ct,2012_SW,2012_SW_ct,2012_no_SW,2012_no_SW_ct,2013_SW,2013_SW_ct,2013_no_SW,2013_no_SW_ct,2014_SW,2014_SW_ct,2014_no_SW,2014_no_SW_ct,2015_SW,2015_SW_ct,2015_no_SW,2015_no_SW_ct,2016_SW,2016_SW_ct,2016_no_SW,2016_no_SW_ct,2017_SW,2017_SW_ct,2017_no_SW,2017_no_SW_ct,2018_SW,2018_SW_ct,2018_no_SW,2018_no_SW_ct,2019_SW,2019_SW_ct,2019_no_SW,2019_no_SW_ct,2020_SW,2020_SW_ct,2020_no_SW,2020_no_SW_ct
1,the,187153,place,17660,the,231202,place,19779,the,301744,place,24457,the,303251,place,23156,the,294701,place,22156,the,275893,place,20627,the,251198,food,19429,the,234400,food,18820,the,219921,food,18541,the,212351,food,18168,the,209554,food,18264,the,207912,food,17836,the,203279,food,15614
2,and,133505,like,16359,and,163756,like,18270,and,212747,like,24261,and,216635,like,23062,and,216508,like,21610,and,206369,food,20186,and,193510,place,19106,and,184032,place,17715,and,177323,place,16439,and,174251,place,16316,and,172836,place,15621,and,175213,get,15237,and,176068,get,15482
3,a,120717,get,13298,a,142154,food,15995,a,181717,food,21502,a,180042,food,21430,a,175200,food,20829,a,163889,like,19641,I,151102,like,17657,to,142515,get,16306,to,136033,would,15357,to,133011,get,15182,to,133000,get,14983,to,132747,place,15008,to,139739,would,15169
4,,104949,good,12678,,127398,good,15308,I,169386,get,19819,I,174657,get,20014,I,171954,get,19511,I,163582,get,18816,to,150827,would,17367,I,142222,would,16125,I,133854,get,15343,I,128727,would,14889,I,125763,would,14647,I,126942,would,14520,I,134963,place,13167
5,to,100081,one,12218,to,123934,get,14833,to,167355,good,18644,to,171737,would,18719,to,170895,would,19278,to,163556,would,18477,a,147365,get,17128,a,136268,like,16039,a,126689,like,14789,a,121678,like,13982,a,118456,like,13401,a,117801,like,13718,a,115791,like,12752
6,I,97524,food,11832,I,122842,one,14209,,156060,one,17832,,151043,good,17918,,151765,one,17343,,129564,one,16276,was,111665,one,14892,was,106617,one,14019,was,101504,one,13356,was,100808,one,12897,was,100140,one,12450,was,99965,one,12366,was,94451,time,12460
7,of,76248,really,11084,of,87810,really,12157,was,119394,would,17641,was,123215,one,17888,was,124210,good,16778,was,118491,good,15632,,101565,good,14508,,86935,good,13607,,76713,good,12511,,70687,time,12308,of,66187,time,11960,of,65520,time,12354,,65394,one,12017
8,is,61021,go,10160,was,84823,would,12142,of,110934,really,15752,of,108457,go,14955,of,103129,go,14260,of,94976,go,13359,of,83584,time,13143,of,76831,time,12521,of,71721,time,12417,of,68123,good,12147,,65892,good,11692,,64162,back,11700,of,64664,back,11487
9,was,56142,-,9943,is,64943,-,12023,is,78006,go,15106,for,77447,really,14865,for,75891,time,13745,for,72620,time,13272,for,66872,go,12170,for,63001,back,11806,for,60424,back,11403,for,59047,back,11309,for,57942,back,11240,for,58152,good,11309,for,57482,go,10370
10,in,52087,great,9410,in,60477,go,11576,for,76754,-,14920,is,76182,time,13321,in,73501,really,13642,is,69012,back,12552,is,63503,back,11954,is,58883,go,11560,in,55227,service,11086,in,53060,service,10993,in,52058,service,11034,in,51947,service,10983,in,53254,good,10322
